lambda_min	1.000000e+04
lambda_max	4.500000e+04
Warning:  Question (t) does not match word (lambda_min) in file. Continuing!
Warning:  Question (t) does not match word (lambda_max) in file. Continuing!
t	1.000000e+04
         0    0.00      inf
Boundary 0.000360
    552000    5.52   8.69e-07
    553000    5.53   8.69e-07
    554000    5.54   8.69e-07
    555000    5.55   8.69e-07
    556000    5.56   8.69e-07
    557000    5.57   8.69e-07
    558000    5.58   8.69e-07
    559000    5.59   8.68e-07
    560000    5.60   8.68e-07
    561000    5.61   8.68e-07
    562000    5.62   8.68e-07
    563000    5.63   8.68e-07
    564000    5.64   8.68e-07
    565000    5.65   8.68e-07
    566000    5.66   8.68e-07
    567000    5.67   8.67e-07
    568000    5.68   8.67e-07
    569000    5.69   8.67e-07
    570000    5.70   8.67e-07
    571000    5.71   8.67e-07
    572000    5.72   8.67e-07
    573000    5.73   8.67e-07
    574000    5.74   8.67e-07
    575000    5.75   8.67e-07
    576000    5.76   8.67e-07
    577000    5.77   8.66e-07
    578000    5.78   8.66e-07
    579000    5.79   8.66e-07
    580000    5.80   8.66e-07
    581000    5.81   8.66e-07
    582000    5.82   8.66e-07
    583000    5.83   8.66e-07
    584000    5.84   8.66e-07
    585000    5.85   8.65e-07
    586000    5.86   8.66e-07
    587000    5.87   8.66e-07
    588000    5.88   8.66e-07
    589000    5.89   8.66e-07
    590000    5.90   8.65e-07
    591000    5.91   8.65e-07
    592000    5.92   8.65e-07
    593000    5.93   8.65e-07
    594000    5.94   8.65e-07
    595000    5.95   8.65e-07
    596000    5.96   8.65e-07
    597000    5.97   8.65e-07
    598000    5.98   8.65e-07
    599000    5.99   8.65e-07
    600000    6.00   8.64e-07
    601000    6.01   8.64e-07
    602000    6.02   8.64e-07
    603000    6.03   8.64e-07
    604000    6.04   8.64e-07
    605000    6.05   8.64e-07
    606000    6.06   8.64e-07
    607000    6.07   8.64e-07
    608000    6.08   8.64e-07
    609000    6.09   8.63e-07
    610000    6.10   8.63e-07
    611000    6.11   8.63e-07
    612000    6.12   8.63e-07
    613000    6.13   8.63e-07
    614000    6.14   8.63e-07
    615000    6.15   8.63e-07
    616000    6.16   8.63e-07
    617000    6.17   8.63e-07
    618000    6.18   8.63e-07
    619000    6.19   8.62e-07
    620000    6.20   8.62e-07
    621000    6.21   8.62e-07
    622000    6.22   8.62e-07
